Name of the author,List of Authors,Student Publication (Yes/No),Title,Type of Publication,Name of Conf/Journal/BC/TB/PT,SCOPUS Yes/No,WoS Yes/No,Publication Details,Year,Month,A.Y,URL,DoI,ISSN/ISBN,Indexing,Citations,Abstract,Keywords,Specialization,Status (Active/Inactive),LINK
Dr A Sreenivasa Rao,"Dr. Annaluri Sreenivasa Rao,Dr. Anitha Patil,Dr. Attili Venkata Ramana,Dr. P. Udaya Kumar,Dr.P. Santosh Kumar PATRA ,DR. V. ANANDAM ,DR.GANTI NAGA SATISH ,B. MADHURAVANI,DR. M. SHANMUKHI",No,"IOT-Traffic System: IOT Based intelligent traffic,transport Management system",Patent,,,,,2019.0,February,2018-19,,,,,,,,,,
Dr A Sreenivasa Rao,"Dr. Anitha patil,Dr. Annaluri Sreenivasa Rao,Dr. Attili Venkata Ramana,Dr. P. Venkata Krishna,Ch Janakamma,Dr. M. Shanmukhi,B. Madhuravani",No,Cloud parking management system and vehicle Anti-theft Method,Patent,,,,,2019.0,February,2018-19,,,,,,,,,,
Dr A Sreenivasa Rao,"Dr M shanmukhi,Nazia Tabassum,Dr Raja boina Raj kumar,Dr Attili Venkata Ramana,Dr Annaluri Sreenivasa Rao,N,Sree divya,K.Harinath,Dr Ramana Reddy T,Dr Venka Rajesh Masina,Dr N. Chandra Sekhar Reddy",No,DIMA-Dataset discovery: Dataset discovery in data investigative using machine learning and AI-based programming,"Patent Office AT,Patient no-2020101987",,,,,2020.0,September,2020-21,,,,,,,,,,
Dr A Sreenivasa Rao,"Dr M. Shanmukhi, Dr Anitha Patil, Dr.G.Naga Satish, Dr.Annaluri Sreenivasa Rao,Dr Attili Venkata Ramana",No,A Novel pixel based method for Satellite Image Classification,Patent,2E+11,,,,2018.0,June,2017-18,,,,,,,,,,
Dr.N.Sudhakar Yadav,"Dr.G.Sreenivasulu, Dr.Rajendra Chadalawada, Prof.Kuthadi Venu Madhav, Dr.B.Sujatha, Dr.Ganti Krishna Sharma, Dr.Selvaraj Rajalakshmi, Dr.Abhishek Ranjan, Dr.N.Sudhakar Yadav, Mr.Balakesava Reddy, Mrs.N.Thulasi Chitra, Dr Siva Shankar S",No,A PROFICIENT METHOD FOR CATEGORICAL DATA CLUSTERING,Patent,Indian Patent,,,"APPLICATION NUMBER 202041035585, APPLICATION TYPE ORDINARY APPLICATION, DATE OF FILING 18/08/2020",2020.0,August,2020-21,https://ipindiaservices.gov.in/PatentSearch/PatentSearch/ViewApplicationStatus,https://ipindiaservices.gov.in/PatentSearch/PatentSearch/ViewApplicationStatus,,,,,,,,
Dr.N.Sudhakar Yadav,"Dr. P.Ezhumalai, Dr.M.Rajkumar, Dr. B.Kalpana, Mr.K.Chittibabu, Dr.N.Sudhakar Yadav, Dr.P.Shobha Rani, Mrs.K.Balasaranya",No,AN AIR GESTURE BASED SYSTEM FOR COMMUNICATING BETWEEN MULTIPLE IOT DEVICES,Patent,Indian Patent,,,Application No.202041030653 A,2020.0,July,2020-21,http://ipindia.gov.in/writereaddata/Portal/IPOJournal/1_4891_1/Part-1.pdf,,,,,,,,,
Srinivas Kolli,"PARVATHALA BALAKESAVA REDDY & PEDDARAPU RAMAKRISHNA SRINIVAS KOLLI, ILLA PAVAN KUMAR,ANAND KUMAR SHARMA",No,IUML-STOCK PRICES PREDICTOR: Intelligent Stock Prices Predictor Using Machine Learning.,Patent,,,,,,,,,,,scopus,,,,,,
